index,model,ground_truth,transcript,ground_truth_norm,transcript_norm,wer_norm,audio_duration_s,processing_time_s,rtf,token_count,has_native_timestamp,word_timestamps,error
5,google_v2,Bản báo cáo miêu tả tâm trạng.,bản báo cáo miêu tả tâm trạng,bản báo cáo miêu tả tâm trạng,bản báo cáo miêu tả tâm trạng,0.0,1.963,1.291,0.658,7,True,"[{""word"": ""bản"", ""start"": 0.0, ""end"": 0.6}, {""word"": ""báo"", ""start"": 0.6, ""end"": 0.7}, {""word"": ""cáo"", ""start"": 0.7, ""end"": 0.8}, {""word"": ""miêu"", ""start"": 0.8, ""end"": 1.3}, {""word"": ""tả"", ""start"": 1.3, ""end"": 1.5}, {""word"": ""tâm"", ""start"": 1.5, ""end"": 1.8}, {""word"": ""trạng"", ""start"": 1.8, ""end"": 1.9}]",
5,iflytek,Bản báo cáo miêu tả tâm trạng., Bản báo cáo miêu tả tâm trạng.,bản báo cáo miêu tả tâm trạng,bản báo cáo miêu tả tâm trạng,0.0,1.963,0.649,0.331,8,False,"[{""word"": "" Bản"", ""wb"": null, ""we"": null, ""est_start"": 0.0, ""est_end"": 0.24533333333333332}, {""word"": "" báo"", ""wb"": null, ""we"": null, ""est_start"": 0.24533333333333332, ""est_end"": 0.49066666666666664}, {""word"": "" cáo"", ""wb"": null, ""we"": null, ""est_start"": 0.49066666666666664, ""est_end"": 0.736}, {""word"": "" miêu"", ""wb"": null, ""we"": null, ""est_start"": 0.736, ""est_end"": 1.0631111111111111}, {""word"": "" tả"", ""wb"": null, ""we"": null, ""est_start"": 1.0631111111111111, ""est_end"": 1.2266666666666666}, {""word"": "" tâm"", ""wb"": null, ""we"": null, ""est_start"": 1.2266666666666666, ""est_end"": 1.472}, {""word"": "" trạng"", ""wb"": null, ""we"": null, ""est_start"": 1.472, ""est_end"": 1.8808888888888888}, {""word"": ""."", ""wb"": null, ""we"": null, ""est_start"": 1.8808888888888888, ""est_end"": 1.9626666666666666}]",
6,google_v2,"Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.",thuật ngữ bù xù xuất phát từ tên tiếng Nhật của series Warriors đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên,thuật ngữ musou xuất phát từ tên tiếng nhật của series warriors đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên,thuật ngữ bù xù xuất phát từ tên tiếng nhật của series warriors đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên,0.062,7.083,2.808,0.396,33,True,"[{""word"": ""thuật"", ""start"": 0.0, ""end"": 0.5}, {""word"": ""ngữ"", ""start"": 0.5, ""end"": 0.6}, {""word"": ""bù"", ""start"": 0.6, ""end"": 0.8}, {""word"": ""xù"", ""start"": 0.8, ""end"": 1.0}, {""word"": ""xuất"", ""start"": 1.0, ""end"": 1.5}, {""word"": ""phát"", ""start"": 1.5, ""end"": 1.6}, {""word"": ""từ"", ""start"": 1.6, ""end"": 1.8}, {""word"": ""tên"", ""start"": 1.8, ""end"": 1.9}, {""word"": ""tiếng"", ""start"": 1.9, ""end"": 2.0}, {""word"": ""Nhật"", ""start"": 2.0, ""end"": 2.2}, {""word"": ""của"", ""start"": 2.2, ""end"": 2.2}, {""word"": ""series"", ""start"": 2.2, ""end"": 2.8}, {""word"": ""Warriors"", ""start"": 2.8, ""end"": 3.3}, {""word"": ""đã"", ""start"": 3.3, ""end"": 3.6}, {""word"": ""trở"", ""start"": 3.6, ""end"": 3.7}, {""word"": ""thành"", ""start"": 3.7, ""end"": 3.9}, {""word"": ""từ"", ""start"": 3.9, ""end"": 4.0}, {""word"": ""dùng"", ""start"": 4.0, ""end"": 4.4}, {""word"": ""để"", ""start"": 4.4, ""end"": 4.6}, {""word"": ""gọi"", ""start"": 4.6, ""end"": 4.7}, {""word"": ""các"", ""start"": 4.7, ""end"": 4.9}, {""word"": ""tựa"", ""start"": 4.9, ""end"": 5.0}, {""word"": ""game"", ""start"": 5.0, ""end"": 5.2}, {""word"": ""được"", ""start"": 5.2, ""end"": 5.4}, {""word"": ""tạo"", ""start"": 5.4, ""end"": 5.5}, {""word"": ""ra"", ""start"": 5.5, ""end"": 5.6}, {""word"": ""với"", ""start"": 5.6, ""end"": 6.0}, {""word"": ""cùng"", ""start"": 6.0, ""end"": 6.1}, {""word"": ""một"", ""start"": 6.1, ""end"": 6.2}, {""word"": ""công"", ""start"": 6.2, ""end"": 6.4}, {""word"": ""thức"", ""start"": 6.4, ""end"": 6.5}, {""word"": ""như"", ""start"": 6.5, ""end"": 6.7}, {""word"": ""trên"", ""start"": 6.7, ""end"": 6.8}]",
6,iflytek,"Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên."," Thuật ngữ bù sô xuất phát, từ tên tiếng nhật, của seri borious đã trở thành tư dùng để gọi các tựa game được tạo ra với cùng 1 công thức như trên.",thuật ngữ musou xuất phát từ tên tiếng nhật của series warriors đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên,thuật ngữ bù sô xuất phát từ tên tiếng nhật của seri borious đã trở thành tư dùng để gọi các tựa game được tạo ra với cùng 1 công thức như trên,0.188,7.083,1.882,0.266,36,False,"[{""word"": "" Thuật"", ""wb"": null, ""we"": null, ""est_start"": 0.0, ""est_end"": 0.31064327485380117}, {""word"": "" ngữ"", ""wb"": null, ""we"": null, ""est_start"": 0.31064327485380117, ""est_end"": 0.4970292397660818}, {""word"": "" bù"", ""wb"": null, ""we"": null, ""est_start"": 0.4970292397660818, ""est_end"": 0.6212865497076023}, {""word"": "" sô"", ""wb"": null, ""we"": null, ""est_start"": 0.6212865497076023, ""est_end"": 0.7455438596491228}, {""word"": "" xuất"", ""wb"": null, ""we"": null, ""est_start"": 0.7455438596491228, ""est_end"": 0.9940584795321638}, {""word"": "" phát"", ""wb"": null, ""we"": null, ""est_start"": 0.9940584795321638, ""est_end"": 1.2425730994152047}, {""word"": "","", ""wb"": null, ""we"": null, ""est_start"": 1.2425730994152047, ""est_end"": 1.304701754385965}, {""word"": "" từ"", ""wb"": null, ""we"": null, ""est_start"": 1.304701754385965, ""est_end"": 1.4289590643274854}, {""word"": "" tên"", ""wb"": null, ""we"": null, ""est_start"": 1.4289590643274854, ""est_end"": 1.6153450292397662}, {""word"": "" tiếng"", ""wb"": null, ""we"": null, ""est_start"": 1.6153450292397662, ""est_end"": 1.9259883040935675}, {""word"": "" nhật"", ""wb"": null, ""we"": null, ""est_start"": 1.9259883040935675, ""est_end"": 2.1745029239766085}, {""word"": "","", ""wb"": null, ""we"": null, ""est_start"": 2.1745029239766085, ""est_end"": 2.2366315789473687}, {""word"": "" của"", ""wb"": null, ""we"": null, ""est_start"": 2.2366315789473687, ""est_end"": 2.4230175438596495}, {""word"": "" seri"", ""wb"": null, ""we"": null, ""est_start"": 2.4230175438596495, ""est_end"": 2.6715321637426905}, {""word"": "" borious"", ""wb"": null, ""we"": null, ""est_start"": 2.6715321637426905, ""est_end"": 3.1064327485380123}, {""word"": "" đã"", ""wb"": null, ""we"": null, ""est_start"": 3.1064327485380123, ""est_end"": 3.230690058479533}, {""word"": "" trở"", ""wb"": null, ""we"": null, ""est_start"": 3.230690058479533, ""est_end"": 3.4170760233918136}, {""word"": "" thành"", ""wb"": null, ""we"": null, ""est_start"": 3.4170760233918136, ""est_end"": 3.727719298245615}, {""word"": "" tư"", ""wb"": null, ""we"": null, ""est_start"": 3.727719298245615, ""est_end"": 3.8519766081871354}, {""word"": "" dùng"", ""wb"": null, ""we"": null, ""est_start"": 3.8519766081871354, ""est_end"": 4.100491228070176}, {""word"": "" để"", ""wb"": null, ""we"": null, ""est_start"": 4.100491228070176, ""est_end"": 4.2247485380116965}, {""word"": "" gọi"", ""wb"": null, ""we"": null, ""est_start"": 4.2247485380116965, ""est_end"": 4.411134502923977}, {""word"": "" các"", ""wb"": null, ""we"": null, ""est_start"": 4.411134502923977, ""est_end"": 4.597520467836257}, {""word"": "" tựa"", ""wb"": null, ""we"": null, ""est_start"": 4.597520467836257, ""est_end"": 4.783906432748537}, {""word"": "" game"", ""wb"": null, ""we"": null, ""est_start"": 4.783906432748537, ""est_end"": 5.0324210526315785}, {""word"": "" được"", ""wb"": null, ""we"": null, ""est_start"": 5.0324210526315785, ""est_end"": 5.2809356725146195}, {""word"": "" tạo"", ""wb"": null, ""we"": null, ""est_start"": 5.2809356725146195, ""est_end"": 5.4673216374269}, {""word"": "" ra"", ""wb"": null, ""we"": null, ""est_start"": 5.4673216374269, ""est_end"": 5.59157894736842}, {""word"": "" với"", ""wb"": null, ""we"": null, ""est_start"": 5.59157894736842, ""est_end"": 5.777964912280701}, {""word"": "" cùng"", ""wb"": null, ""we"": null, ""est_start"": 5.777964912280701, ""est_end"": 6.026479532163742}, {""word"": "" 1"", ""wb"": null, ""we"": null, ""est_start"": 6.026479532163742, ""est_end"": 6.0886081871345015}, {""word"": "" công"", ""wb"": null, ""we"": null, ""est_start"": 6.0886081871345015, ""est_end"": 6.3371228070175425}, {""word"": "" thức"", ""wb"": null, ""we"": null, ""est_start"": 6.3371228070175425, ""est_end"": 6.5856374269005835}, {""word"": "" như"", ""wb"": null, ""we"": null, ""est_start"": 6.5856374269005835, ""est_end"": 6.772023391812864}, {""word"": "" trên"", ""wb"": null, ""we"": null, ""est_start"": 6.772023391812864, ""est_end"": 7.020538011695905}, {""word"": ""."", ""wb"": null, ""we"": null, ""est_start"": 7.020538011695905, ""est_end"": 7.082666666666665}]",
7,google_v2,Thì kết thúc này quen lắm.,,thì kết thúc này quen lắm,,1.0,1.365,1.427,1.045,0,False,[],
7,iflytek,Thì kết thúc này quen lắm., Cái kết thúc này quen lắm.,thì kết thúc này quen lắm,cái kết thúc này quen lắm,0.167,1.365,0.614,0.45,7,False,"[{""word"": "" Cái"", ""wb"": null, ""we"": null, ""est_start"": 0.0, ""est_end"": 0.19504761904761903}, {""word"": "" kết"", ""wb"": null, ""we"": null, ""est_start"": 0.19504761904761903, ""est_end"": 0.39009523809523805}, {""word"": "" thúc"", ""wb"": null, ""we"": null, ""est_start"": 0.39009523809523805, ""est_end"": 0.6501587301587302}, {""word"": "" này"", ""wb"": null, ""we"": null, ""est_start"": 0.6501587301587302, ""est_end"": 0.8452063492063492}, {""word"": "" quen"", ""wb"": null, ""we"": null, ""est_start"": 0.8452063492063492, ""est_end"": 1.1052698412698412}, {""word"": "" lắm"", ""wb"": null, ""we"": null, ""est_start"": 1.1052698412698412, ""est_end"": 1.3003174603174603}, {""word"": ""."", ""wb"": null, ""we"": null, ""est_start"": 1.3003174603174603, ""est_end"": 1.3653333333333333}]",
8,google_v2,Cậu có nhìn thấy không?,Cậu có nhìn thấy không,cậu có nhìn thấy không,cậu có nhìn thấy không,0.0,1.195,1.681,1.407,5,True,"[{""word"": ""Cậu"", ""start"": 0.0, ""end"": 0.5}, {""word"": ""có"", ""start"": 0.5, ""end"": 0.7}, {""word"": ""nhìn"", ""start"": 0.7, ""end"": 0.7}, {""word"": ""thấy"", ""start"": 0.7, ""end"": 0.9}, {""word"": ""không"", ""start"": 0.9, ""end"": 1.0}]",
8,iflytek,Cậu có nhìn thấy không?, Cậu có nhìn thấy không?,cậu có nhìn thấy không,cậu có nhìn thấy không,0.0,1.195,0.593,0.496,6,False,"[{""word"": "" Cậu"", ""wb"": null, ""we"": null, ""est_start"": 0.0, ""est_end"": 0.18863157894736843}, {""word"": "" có"", ""wb"": null, ""we"": null, ""est_start"": 0.18863157894736843, ""est_end"": 0.3143859649122807}, {""word"": "" nhìn"", ""wb"": null, ""we"": null, ""est_start"": 0.3143859649122807, ""est_end"": 0.5658947368421052}, {""word"": "" thấy"", ""wb"": null, ""we"": null, ""est_start"": 0.5658947368421052, ""est_end"": 0.8174035087719298}, {""word"": "" không"", ""wb"": null, ""we"": null, ""est_start"": 0.8174035087719298, ""est_end"": 1.1317894736842105}, {""word"": ""?"", ""wb"": null, ""we"": null, ""est_start"": 1.1317894736842105, ""est_end"": 1.1946666666666665}]",
9,google_v2,"Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn.",nhìn từng người dân mỗi nhà bị phá mà lòng tôi đau đớn,nhìn từng người dân từng ngôi nhà bị phá mà lòng tôi đau đớn,nhìn từng người dân mỗi nhà bị phá mà lòng tôi đau đớn,0.143,4.181,1.959,0.469,13,True,"[{""word"": ""nhìn"", ""start"": 0.0, ""end"": 0.6}, {""word"": ""từng"", ""start"": 0.6, ""end"": 0.8}, {""word"": ""người"", ""start"": 0.8, ""end"": 0.9}, {""word"": ""dân"", ""start"": 0.9, ""end"": 1.0}, {""word"": ""mỗi"", ""start"": 1.0, ""end"": 2.0}, {""word"": ""nhà"", ""start"": 2.0, ""end"": 2.1}, {""word"": ""bị"", ""start"": 2.1, ""end"": 2.3}, {""word"": ""phá"", ""start"": 2.3, ""end"": 2.7}, {""word"": ""mà"", ""start"": 2.7, ""end"": 3.0}, {""word"": ""lòng"", ""start"": 3.0, ""end"": 3.2}, {""word"": ""tôi"", ""start"": 3.2, ""end"": 3.4}, {""word"": ""đau"", ""start"": 3.4, ""end"": 3.7}, {""word"": ""đớn"", ""start"": 3.7, ""end"": 3.8}]",
9,iflytek,"Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn.", Nhìn từng người dân với ngôi nhà bị phá mà lòng tôi đau đớn.,nhìn từng người dân từng ngôi nhà bị phá mà lòng tôi đau đớn,nhìn từng người dân với ngôi nhà bị phá mà lòng tôi đau đớn,0.071,4.181,1.31,0.313,15,False,"[{""word"": "" Nhìn"", ""wb"": null, ""we"": null, ""est_start"": 0.0, ""est_end"": 0.35585815602836873}, {""word"": "" từng"", ""wb"": null, ""we"": null, ""est_start"": 0.35585815602836873, ""est_end"": 0.7117163120567375}, {""word"": "" người"", ""wb"": null, ""we"": null, ""est_start"": 0.7117163120567375, ""est_end"": 1.1565390070921984}, {""word"": "" dân"", ""wb"": null, ""we"": null, ""est_start"": 1.1565390070921984, ""est_end"": 1.423432624113475}, {""word"": "" với"", ""wb"": null, ""we"": null, ""est_start"": 1.423432624113475, ""est_end"": 1.6903262411347515}, {""word"": "" ngôi"", ""wb"": null, ""we"": null, ""est_start"": 1.6903262411347515, ""est_end"": 2.0461843971631204}, {""word"": "" nhà"", ""wb"": null, ""we"": null, ""est_start"": 2.0461843971631204, ""est_end"": 2.3130780141843967}, {""word"": "" bị"", ""wb"": null, ""we"": null, ""est_start"": 2.3130780141843967, ""est_end"": 2.491007092198581}, {""word"": "" phá"", ""wb"": null, ""we"": null, ""est_start"": 2.491007092198581, ""est_end"": 2.7579007092198573}, {""word"": "" mà"", ""wb"": null, ""we"": null, ""est_start"": 2.7579007092198573, ""est_end"": 2.9358297872340415}, {""word"": "" lòng"", ""wb"": null, ""we"": null, ""est_start"": 2.9358297872340415, ""est_end"": 3.2916879432624104}, {""word"": "" tôi"", ""wb"": null, ""we"": null, ""est_start"": 3.2916879432624104, ""est_end"": 3.558581560283687}, {""word"": "" đau"", ""wb"": null, ""we"": null, ""est_start"": 3.558581560283687, ""est_end"": 3.8254751773049636}, {""word"": "" đớn"", ""wb"": null, ""we"": null, ""est_start"": 3.8254751773049636, ""est_end"": 4.09236879432624}, {""word"": ""."", ""wb"": null, ""we"": null, ""est_start"": 4.09236879432624, ""est_end"": 4.181333333333332}]",
