Audio_ID,Model,Duration_s,Processing_Time_s,RTF,WER,Ground_Truth,Transcript,Ground_Truth_Norm,Transcript_Norm,Word_Timestamps,Error
Sample_10,latest_short,4.52,2.94,0.65,0.0,"Đại tá Trần Đình Hưng, Phó Chỉ huy trưởng, Tham mưu trưởng, Bộ Chỉ huy quân sự tỉnh.",Đại tá Trần Đình Hưng phó chỉ huy trưởng tham mưu trưởng Bộ Chỉ huy quân sự tỉnh,đại tá trần đình hưng phó chỉ huy trưởng tham mưu trưởng bộ chỉ huy quân sự tỉnh,đại tá trần đình hưng phó chỉ huy trưởng tham mưu trưởng bộ chỉ huy quân sự tỉnh,"[{'word': 'Đại', 'start': 0.0, 'end': 0.5}, {'word': 'tá', 'start': 0.5, 'end': 0.7}, {'word': 'Trần', 'start': 0.7, 'end': 0.9}, {'word': 'Đình', 'start': 0.9, 'end': 1.0}, {'word': 'Hưng', 'start': 1.0, 'end': 1.0}, {'word': 'phó', 'start': 1.0, 'end': 1.9}, {'word': 'chỉ', 'start': 1.9, 'end': 2.0}, {'word': 'huy', 'start': 2.0, 'end': 2.1}, {'word': 'trưởng', 'start': 2.1, 'end': 2.2}, {'word': 'tham', 'start': 2.2, 'end': 2.8}, {'word': 'mưu', 'start': 2.8, 'end': 3.0}, {'word': 'trưởng', 'start': 3.0, 'end': 3.1}, {'word': 'Bộ', 'start': 3.1, 'end': 3.5}, {'word': 'Chỉ', 'start': 3.5, 'end': 3.7}, {'word': 'huy', 'start': 3.7, 'end': 3.8}, {'word': 'quân', 'start': 3.8, 'end': 4.0}, {'word': 'sự', 'start': 4.0, 'end': 4.1}, {'word': 'tỉnh', 'start': 4.1, 'end': 4.2}]",
Sample_11,latest_short,7.59,4.0,0.527,0.741,"Trong bầu không khí náo nhiệt của giảp hát, hùng thủ rút khẩu súng ra, ông Derringer 44 ly, dí sát đầu tổng thống mà ná đạn.",trong bầu không khí náo nhiệt của giải pháp,trong bầu không khí náo nhiệt của giảp hát hùng thủ rút khẩu súng ra ông derringer 44 ly dí sát đầu tổng thống mà ná đạn,trong bầu không khí náo nhiệt của giải pháp,"[{'word': 'trong', 'start': 0.0, 'end': 0.5}, {'word': 'bầu', 'start': 0.5, 'end': 0.7}, {'word': 'không', 'start': 0.7, 'end': 0.9}, {'word': 'khí', 'start': 0.9, 'end': 1.0}, {'word': 'náo', 'start': 1.0, 'end': 1.1}, {'word': 'nhiệt', 'start': 1.1, 'end': 1.3}, {'word': 'của', 'start': 1.3, 'end': 1.5}, {'word': 'giải', 'start': 1.5, 'end': 1.6}, {'word': 'pháp', 'start': 1.6, 'end': 1.8}]",
Sample_12,latest_short,2.9,2.2,0.757,0.182,"Một, một ngày hãy làm tốt vài điều mình muốn làm.",một một ngày hãy làm tốt vai điều mình muốn,một một ngày hãy làm tốt vài điều mình muốn làm,một một ngày hãy làm tốt vai điều mình muốn,"[{'word': 'một', 'start': 0.0, 'end': 0.9}, {'word': 'một', 'start': 0.9, 'end': 1.0}, {'word': 'ngày', 'start': 1.0, 'end': 1.1}, {'word': 'hãy', 'start': 1.1, 'end': 1.3}, {'word': 'làm', 'start': 1.3, 'end': 1.5}, {'word': 'tốt', 'start': 1.5, 'end': 1.9}, {'word': 'vai', 'start': 1.9, 'end': 2.1}, {'word': 'điều', 'start': 2.1, 'end': 2.4}, {'word': 'mình', 'start': 2.4, 'end': 2.6}, {'word': 'muốn', 'start': 2.6, 'end': 2.7}]",
Sample_13,latest_short,4.35,2.84,0.652,0.0,Kế hoạch là vậy nhưng cả Pháp lẫn Tây Ban Nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch.,kế hoạch là vậy nhưng cả pháp lẫn Tây Ban Nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch,kế hoạch là vậy nhưng cả pháp lẫn tây ban nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch,kế hoạch là vậy nhưng cả pháp lẫn tây ban nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch,"[{'word': 'kế', 'start': 0.0, 'end': 0.4}, {'word': 'hoạch', 'start': 0.4, 'end': 0.5}, {'word': 'là', 'start': 0.5, 'end': 0.6}, {'word': 'vậy', 'start': 0.6, 'end': 0.7}, {'word': 'nhưng', 'start': 0.7, 'end': 1.1}, {'word': 'cả', 'start': 1.1, 'end': 1.3}, {'word': 'pháp', 'start': 1.3, 'end': 1.5}, {'word': 'lẫn', 'start': 1.5, 'end': 1.7}, {'word': 'Tây', 'start': 1.7, 'end': 1.9}, {'word': 'Ban', 'start': 1.9, 'end': 2.0}, {'word': 'Nha', 'start': 2.0, 'end': 2.1}, {'word': 'vẫn', 'start': 2.1, 'end': 2.3}, {'word': 'chưa', 'start': 2.3, 'end': 2.5}, {'word': 'xác', 'start': 2.5, 'end': 2.5}, {'word': 'định', 'start': 2.5, 'end': 2.7}, {'word': 'được', 'start': 2.7, 'end': 2.8}, {'word': 'nơi', 'start': 2.8, 'end': 3.0}, {'word': 'nào', 'start': 3.0, 'end': 3.1}, {'word': 'phù', 'start': 3.1, 'end': 3.3}, {'word': 'hợp', 'start': 3.3, 'end': 3.4}, {'word': 'để', 'start': 3.4, 'end': 3.7}, {'word': 'mở', 'start': 3.7, 'end': 3.8}, {'word': 'màn', 'start': 3.8, 'end': 4.0}, {'word': 'chiến', 'start': 4.0, 'end': 4.1}, {'word': 'dịch', 'start': 4.1, 'end': 4.3}]",
Sample_14,latest_short,6.83,4.38,0.642,0.103,Bà cho rằng các cuộc xung đột giữa Hồi giáo và Phật giáo không phải là một cuộc thanh lọc sắc tộc như giới chức quốc tế nhận định.,ba cho rằng các cuộc xung đột giữa Hồi giáo và phật giáo không phải là một cuộc thành lập sắc tộc như giới chức quốc tế nhận định,bà cho rằng các cuộc xung đột giữa hồi giáo và phật giáo không phải là một cuộc thanh lọc sắc tộc như giới chức quốc tế nhận định,ba cho rằng các cuộc xung đột giữa hồi giáo và phật giáo không phải là một cuộc thành lập sắc tộc như giới chức quốc tế nhận định,"[{'word': 'ba', 'start': 0.0, 'end': 0.5}, {'word': 'cho', 'start': 0.5, 'end': 0.6}, {'word': 'rằng', 'start': 0.6, 'end': 0.8}, {'word': 'các', 'start': 0.8, 'end': 1.1}, {'word': 'cuộc', 'start': 1.1, 'end': 1.3}, {'word': 'xung', 'start': 1.3, 'end': 1.5}, {'word': 'đột', 'start': 1.5, 'end': 1.6}, {'word': 'giữa', 'start': 1.6, 'end': 1.8}, {'word': 'Hồi', 'start': 1.8, 'end': 2.0}, {'word': 'giáo', 'start': 2.0, 'end': 2.1}, {'word': 'và', 'start': 2.1, 'end': 2.3}, {'word': 'phật', 'start': 2.3, 'end': 2.5}, {'word': 'giáo', 'start': 2.5, 'end': 2.6}, {'word': 'không', 'start': 2.6, 'end': 3.4}, {'word': 'phải', 'start': 3.4, 'end': 3.5}, {'word': 'là', 'start': 3.5, 'end': 3.8}, {'word': 'một', 'start': 3.8, 'end': 4.0}, {'word': 'cuộc', 'start': 4.0, 'end': 4.3}, {'word': 'thành', 'start': 4.3, 'end': 4.5}, {'word': 'lập', 'start': 4.5, 'end': 4.7}, {'word': 'sắc', 'start': 4.7, 'end': 5.0}, {'word': 'tộc', 'start': 5.0, 'end': 5.1}, {'word': 'như', 'start': 5.1, 'end': 5.7}, {'word': 'giới', 'start': 5.7, 'end': 5.9}, {'word': 'chức', 'start': 5.9, 'end': 6.1}, {'word': 'quốc', 'start': 6.1, 'end': 6.2}, {'word': 'tế', 'start': 6.2, 'end': 6.3}, {'word': 'nhận', 'start': 6.3, 'end': 6.6}, {'word': 'định', 'start': 6.6, 'end': 6.6}]",
Sample_15,latest_short,4.01,2.61,0.651,0.053,Tết là dịp mọi người háo hức đón chào một năm mới với nhiều hy vọng và mong ước.,Tết là dịp mọi người háo hức đón chào một năm mới với nhiều hi vọng và mong ước,tết là dịp mọi người háo hức đón chào một năm mới với nhiều hy vọng và mong ước,tết là dịp mọi người háo hức đón chào một năm mới với nhiều hi vọng và mong ước,"[{'word': 'Tết', 'start': 0.0, 'end': 0.6}, {'word': 'là', 'start': 0.6, 'end': 0.8}, {'word': 'dịp', 'start': 0.8, 'end': 0.9}, {'word': 'mọi', 'start': 0.9, 'end': 1.0}, {'word': 'người', 'start': 1.0, 'end': 1.1}, {'word': 'háo', 'start': 1.1, 'end': 1.5}, {'word': 'hức', 'start': 1.5, 'end': 1.6}, {'word': 'đón', 'start': 1.6, 'end': 1.9}, {'word': 'chào', 'start': 1.9, 'end': 2.1}, {'word': 'một', 'start': 2.1, 'end': 2.3}, {'word': 'năm', 'start': 2.3, 'end': 2.5}, {'word': 'mới', 'start': 2.5, 'end': 2.6}, {'word': 'với', 'start': 2.6, 'end': 2.8}, {'word': 'nhiều', 'start': 2.8, 'end': 3.0}, {'word': 'hi', 'start': 3.0, 'end': 3.1}, {'word': 'vọng', 'start': 3.1, 'end': 3.3}, {'word': 'và', 'start': 3.3, 'end': 3.6}, {'word': 'mong', 'start': 3.6, 'end': 3.7}, {'word': 'ước', 'start': 3.7, 'end': 3.8}]",
Sample_16,latest_short,1.71,1.46,0.856,0.0,Ám sát kẻ thù của quốc gia.,ám sát kẻ thù của quốc gia,ám sát kẻ thù của quốc gia,ám sát kẻ thù của quốc gia,"[{'word': 'ám', 'start': 0.0, 'end': 0.7}, {'word': 'sát', 'start': 0.7, 'end': 0.7}, {'word': 'kẻ', 'start': 0.7, 'end': 0.9}, {'word': 'thù', 'start': 0.9, 'end': 1.0}, {'word': 'của', 'start': 1.0, 'end': 1.2}, {'word': 'quốc', 'start': 1.2, 'end': 1.3}, {'word': 'gia', 'start': 1.3, 'end': 1.5}]",
Sample_17,latest_short,1.79,1.47,0.821,0.143,Xếp trồi lên và gợi ý bạn.,xếp trồi lên và gợi ý,xếp trồi lên và gợi ý bạn,xếp trồi lên và gợi ý,"[{'word': 'xếp', 'start': 0.0, 'end': 0.8}, {'word': 'trồi', 'start': 0.8, 'end': 0.9}, {'word': 'lên', 'start': 0.9, 'end': 1.1}, {'word': 'và', 'start': 1.1, 'end': 1.3}, {'word': 'gợi', 'start': 1.3, 'end': 1.5}, {'word': 'ý', 'start': 1.5, 'end': 1.7}]",
Sample_18,latest_short,3.5,2.31,0.66,0.053,Những thay đổi đó bây giờ cũng được marketing là những thay đổi lớn và đột phá mỗi năm.,những thay đổi đó bây giờ cũng được Marketing là những thay đổi lớn và đột phá mỗi,những thay đổi đó bây giờ cũng được marketing là những thay đổi lớn và đột phá mỗi năm,những thay đổi đó bây giờ cũng được marketing là những thay đổi lớn và đột phá mỗi,"[{'word': 'những', 'start': 0.0, 'end': 0.5}, {'word': 'thay', 'start': 0.5, 'end': 0.6}, {'word': 'đổi', 'start': 0.6, 'end': 0.7}, {'word': 'đó', 'start': 0.7, 'end': 0.8}, {'word': 'bây', 'start': 0.8, 'end': 1.0}, {'word': 'giờ', 'start': 1.0, 'end': 1.1}, {'word': 'cũng', 'start': 1.1, 'end': 1.2}, {'word': 'được', 'start': 1.2, 'end': 1.3}, {'word': 'Marketing', 'start': 1.3, 'end': 1.8}, {'word': 'là', 'start': 1.8, 'end': 2.0}, {'word': 'những', 'start': 2.0, 'end': 2.1}, {'word': 'thay', 'start': 2.1, 'end': 2.2}, {'word': 'đổi', 'start': 2.2, 'end': 2.3}, {'word': 'lớn', 'start': 2.3, 'end': 2.5}, {'word': 'và', 'start': 2.5, 'end': 2.8}, {'word': 'đột', 'start': 2.8, 'end': 3.0}, {'word': 'phá', 'start': 3.0, 'end': 3.1}, {'word': 'mỗi', 'start': 3.1, 'end': 3.3}]",
Sample_19,latest_short,5.29,3.96,0.749,0.652,"Hãy gạt bỏ chúng qua hẳn một bên, rồi chuẩn bị vun đắp thói quen sống trong những ngăn tàu đóng chặt kín.",Hãy gạt bỏ chúng qua hẳn một bên,hãy gạt bỏ chúng qua hẳn một bên rồi chuẩn bị vun đắp thói quen sống trong những ngăn tàu đóng chặt kín,hãy gạt bỏ chúng qua hẳn một bên,"[{'word': 'Hãy', 'start': 0.0, 'end': 0.4}, {'word': 'gạt', 'start': 0.4, 'end': 0.6}, {'word': 'bỏ', 'start': 0.6, 'end': 0.8}, {'word': 'chúng', 'start': 0.8, 'end': 0.9}, {'word': 'qua', 'start': 0.9, 'end': 1.1}, {'word': 'hẳn', 'start': 1.1, 'end': 1.3}, {'word': 'một', 'start': 1.3, 'end': 1.4}, {'word': 'bên', 'start': 1.4, 'end': 1.5}]",
Sample_20,latest_short,1.54,1.36,0.883,0.0,Mà bước chân bối rối.,mà bước chân bối rối,mà bước chân bối rối,mà bước chân bối rối,"[{'word': 'mà', 'start': 0.0, 'end': 0.6}, {'word': 'bước', 'start': 0.6, 'end': 0.8}, {'word': 'chân', 'start': 0.8, 'end': 0.9}, {'word': 'bối', 'start': 0.9, 'end': 1.1}, {'word': 'rối', 'start': 1.1, 'end': 1.3}]",
Sample_21,latest_short,1.37,1.3,0.955,0.2,Bảo đi chơi cũng không.,bão đi chơi cũng không,bảo đi chơi cũng không,bão đi chơi cũng không,"[{'word': 'bão', 'start': 0.0, 'end': 0.5}, {'word': 'đi', 'start': 0.5, 'end': 0.7}, {'word': 'chơi', 'start': 0.7, 'end': 0.8}, {'word': 'cũng', 'start': 0.8, 'end': 1.1}, {'word': 'không', 'start': 1.1, 'end': 1.2}]",
Sample_22,latest_short,4.95,3.23,0.653,0.0,"Đầu tiên là do đồng yên liên tục mất giá trong năm 2023, làm xói mòn lợi nhuận xuất khẩu.",đầu tiên là do đồng yên liên tục mất giá trong năm 2023 làm xói mòn lợi nhuận xuất khẩu,đầu tiên là do đồng yên liên tục mất giá trong năm 2023 làm xói mòn lợi nhuận xuất khẩu,đầu tiên là do đồng yên liên tục mất giá trong năm 2023 làm xói mòn lợi nhuận xuất khẩu,"[{'word': 'đầu', 'start': 0.0, 'end': 0.4}, {'word': 'tiên', 'start': 0.4, 'end': 0.7}, {'word': 'là', 'start': 0.7, 'end': 0.9}, {'word': 'do', 'start': 0.9, 'end': 1.0}, {'word': 'đồng', 'start': 1.0, 'end': 1.1}, {'word': 'yên', 'start': 1.1, 'end': 1.3}, {'word': 'liên', 'start': 1.3, 'end': 1.5}, {'word': 'tục', 'start': 1.5, 'end': 1.6}, {'word': 'mất', 'start': 1.6, 'end': 1.9}, {'word': 'giá', 'start': 1.9, 'end': 2.0}, {'word': 'trong', 'start': 2.0, 'end': 2.3}, {'word': 'năm', 'start': 2.3, 'end': 2.5}, {'word': '2023', 'start': 2.5, 'end': 3.0}, {'word': 'làm', 'start': 3.0, 'end': 3.8}, {'word': 'xói', 'start': 3.8, 'end': 3.9}, {'word': 'mòn', 'start': 3.9, 'end': 4.1}, {'word': 'lợi', 'start': 4.1, 'end': 4.3}, {'word': 'nhuận', 'start': 4.3, 'end': 4.4}, {'word': 'xuất', 'start': 4.4, 'end': 4.6}, {'word': 'khẩu', 'start': 4.6, 'end': 4.7}]",
Sample_23,latest_short,4.35,2.89,0.663,0.1,"Năm 2015, Việt Nam chọn hệ thống tiên lửa Spider làm hệ thống tiên lửa phòng không tầm trung mới.",năm 2015 Việt Nam Chọn hệ thống tên lửa Spider làm hệ thống tên lửa phòng không tầm trung mới,năm 2015 việt nam chọn hệ thống tiên lửa spider làm hệ thống tiên lửa phòng không tầm trung mới,năm 2015 việt nam chọn hệ thống tên lửa spider làm hệ thống tên lửa phòng không tầm trung mới,"[{'word': 'năm', 'start': 0.0, 'end': 0.4}, {'word': '2015', 'start': 0.4, 'end': 0.7}, {'word': 'Việt', 'start': 0.7, 'end': 1.2}, {'word': 'Nam', 'start': 1.2, 'end': 1.3}, {'word': 'Chọn', 'start': 1.3, 'end': 1.6}, {'word': 'hệ', 'start': 1.6, 'end': 1.7}, {'word': 'thống', 'start': 1.7, 'end': 1.8}, {'word': 'tên', 'start': 1.8, 'end': 2.0}, {'word': 'lửa', 'start': 2.0, 'end': 2.2}, {'word': 'Spider', 'start': 2.2, 'end': 2.6}, {'word': 'làm', 'start': 2.6, 'end': 2.8}, {'word': 'hệ', 'start': 2.8, 'end': 3.0}, {'word': 'thống', 'start': 3.0, 'end': 3.1}, {'word': 'tên', 'start': 3.1, 'end': 3.3}, {'word': 'lửa', 'start': 3.3, 'end': 3.4}, {'word': 'phòng', 'start': 3.4, 'end': 3.5}, {'word': 'không', 'start': 3.5, 'end': 3.7}, {'word': 'tầm', 'start': 3.7, 'end': 3.8}, {'word': 'trung', 'start': 3.8, 'end': 4.0}, {'word': 'mới', 'start': 4.0, 'end': 4.1}]",
Sample_24,latest_short,6.74,4.27,0.634,0.037,"Trong những năm gần đây, Starbucks đã tăng giá các sản phẩm của mình để đối phó với lãng phát và chi phí lao động tăng cao.",trong những năm gần đây Starbucks đã tăng giá các sản phẩm của mình để đối phó với lạm phát và chi phí lao động tăng cao,trong những năm gần đây starbucks đã tăng giá các sản phẩm của mình để đối phó với lãng phát và chi phí lao động tăng cao,trong những năm gần đây starbucks đã tăng giá các sản phẩm của mình để đối phó với lạm phát và chi phí lao động tăng cao,"[{'word': 'trong', 'start': 0.0, 'end': 0.6}, {'word': 'những', 'start': 0.6, 'end': 0.8}, {'word': 'năm', 'start': 0.8, 'end': 1.0}, {'word': 'gần', 'start': 1.0, 'end': 1.1}, {'word': 'đây', 'start': 1.1, 'end': 1.2}, {'word': 'Starbucks', 'start': 1.2, 'end': 2.2}, {'word': 'đã', 'start': 2.2, 'end': 2.5}, {'word': 'tăng', 'start': 2.5, 'end': 2.7}, {'word': 'giá', 'start': 2.7, 'end': 2.7}, {'word': 'các', 'start': 2.7, 'end': 3.0}, {'word': 'sản', 'start': 3.0, 'end': 3.1}, {'word': 'phẩm', 'start': 3.1, 'end': 3.2}, {'word': 'của', 'start': 3.2, 'end': 3.4}, {'word': 'mình', 'start': 3.4, 'end': 3.7}, {'word': 'để', 'start': 3.7, 'end': 3.9}, {'word': 'đối', 'start': 3.9, 'end': 4.1}, {'word': 'phó', 'start': 4.1, 'end': 4.3}, {'word': 'với', 'start': 4.3, 'end': 4.4}, {'word': 'lạm', 'start': 4.4, 'end': 4.6}, {'word': 'phát', 'start': 4.6, 'end': 4.7}, {'word': 'và', 'start': 4.7, 'end': 5.4}, {'word': 'chi', 'start': 5.4, 'end': 5.6}, {'word': 'phí', 'start': 5.6, 'end': 5.8}, {'word': 'lao', 'start': 5.8, 'end': 5.9}, {'word': 'động', 'start': 5.9, 'end': 6.0}, {'word': 'tăng', 'start': 6.0, 'end': 6.4}, {'word': 'cao', 'start': 6.4, 'end': 6.5}]",
